[2024/10/08-15:06:46.271] AZcmd, AZreal, ELcmd, ELreal, 297.821474, 297.819571, 41.053547, 41.053652
[2024/10/08-15:06:46.570] AZcmd, AZreal, ELcmd, ELreal, 297.804273, 297.802392, 41.100663, 41.100780
[2024/10/08-15:06:46.871] AZcmd, AZreal, ELcmd, ELreal, 297.787093, 297.785213, 41.147793, 41.147878
[2024/10/08-15:06:47.169] AZcmd, AZreal, ELcmd, ELreal, 297.769940, 297.768064, 41.194924, 41.195037
[2024/10/08-15:06:47.469] AZcmd, AZreal, ELcmd, ELreal, 297.752808, 297.750916, 41.242070, 41.242135
[2024/10/08-15:06:47.772] AZcmd, AZreal, ELcmd, ELreal, 297.735701, 297.733889, 41.289222, 41.289324
[2024/10/08-15:06:48.071] AZcmd, AZreal, ELcmd, ELreal, 297.718622, 297.716709, 41.336369, 41.336483
[2024/10/08-15:06:48.371] AZcmd, AZreal, ELcmd, ELreal, 297.701562, 297.699713, 41.383538, 41.383642
[2024/10/08-15:06:48.673] AZcmd, AZreal, ELcmd, ELreal, 297.684528, 297.682686, 41.430709, 41.430801
[2024/10/08-15:06:48.971] AZcmd, AZreal, ELcmd, ELreal, 297.667521, 297.665689, 41.477882, 41.477990
[2024/10/08-15:06:49.269] AZcmd, AZreal, ELcmd, ELreal, 297.650532, 297.648662, 41.525076, 41.525179
[2024/10/08-15:06:49.569] AZcmd, AZreal, ELcmd, ELreal, 297.633569, 297.631757, 41.572276, 41.572368
[2024/10/08-15:06:49.868] AZcmd, AZreal, ELcmd, ELreal, 297.616631, 297.614791, 41.619480, 41.619588
[2024/10/08-15:06:50.172] AZcmd, AZreal, ELcmd, ELreal, 297.599717, 297.597916, 41.666692, 41.666838
[2024/10/08-15:06:50.471] AZcmd, AZreal, ELcmd, ELreal, 297.582832, 297.580980, 41.713897, 41.714027
[2024/10/08-15:06:50.771] AZcmd, AZreal, ELcmd, ELreal, 297.565967, 297.564135, 41.761124, 41.761247
[2024/10/08-15:06:51.071] AZcmd, AZreal, ELcmd, ELreal, 297.549127, 297.547291, 41.808356, 41.808497
[2024/10/08-15:06:51.371] AZcmd, AZreal, ELcmd, ELreal, 297.532311, 297.530476, 41.855598, 41.855747
[2024/10/08-15:06:51.670] AZcmd, AZreal, ELcmd, ELreal, 297.515519, 297.513693, 41.902845, 41.902997
[2024/10/08-15:06:51.970] AZcmd, AZreal, ELcmd, ELreal, 297.498752, 297.496878, 41.950102, 41.950247
[2024/10/08-15:06:52.270] AZcmd, AZreal, ELcmd, ELreal, 297.482010, 297.480125, 41.997363, 41.997497
[2024/10/08-15:06:52.569] AZcmd, AZreal, ELcmd, ELreal, 297.465291, 297.463463, 42.044635, 42.044777
